username password age 
Luke;1234;1234
Title isFavourite hasWatched
The Shawshank Redemption; true; true;
Top Of The Lake; false; true; 
Fear The Walking Dead; false; true; 
Damages; false; true; 
Californication; false; true; 
One Flew Over The Cuckoo's Nest; false; true; 
Psycho; true; true;
The Wizard Of Oz; false; true; 
The Punisher; false; true; 
Rain Man; true; true;
The Sopranos; false; true; 
High Noon; false; true; 
The Exorcist; false; true; 
Sunset Boulevard; false; true; 
The Bridge Over The River Kwai; false; true; 
The Strain; true; true;
